word,graphemes
বঙ্গপোসাগর,"['ব', 'ঙ্গ', 'পো', 'সা', 'গ', 'র']"
খ্রিষটানসহ,"['খ্রি', 'ষ', 'টা', 'ন', 'স', 'হ']"
ঈদ-পুজা,"['ঈ', 'দ', '-', 'পু', 'জা']"
কোঁজ,"['কোঁ', 'জ']"
"সাথে,","['সা', 'থে', ',']"
ঝর্ণা,"['ঝ', 'র্ণা']"
আষাড়ে,"['আ', 'ষা', 'ড়ে']"
পূর্বে-,"['পূ', 'র্বে', '-']"
"উত্তরে,","['উ', 'ত্ত', 'রে', ',']"
কেকিলের,"['কে', 'কি', 'লে', 'র']"
কক্স-,"['ক', 'ক্স', '-']"
"বাজার,","['বা', 'জা', 'র', ',']"
ইদ-পূজা-পার্বণে,"['ই', 'দ', '-', 'পূ', 'জা', '-', 'পা', 'র্ব', 'ণে']"
ইদ-পূজা-,"['ই', 'দ', '-', 'পূ', 'জা', '-']"
উংসবের,"['উ', 'ং', 'স', 'বে', 'র']"
সমূদ্রের,"['স', 'মূ', 'দ্রে', 'র']"
প্রান্তরে।,"['প্রা', 'ন্ত', 'রে', '।']"
ম্যানগ্রোভবন,"['ম্যা', 'ন', 'গ্রো', 'ভ', 'ব', 'ন']"
দক্ষিন-পুর্ব,"['দ', 'ক্ষি', 'ন', '-', 'পু', 'র্ব']"
পেজ,"['পে', 'জ']"
পিঠাপুলি,"['পি', 'ঠা', 'পু', 'লি']"
"ঈদ,-পূজা-","['ঈ', 'দ', ',', '-', 'পূ', 'জা', '-']"
"অথৈ,","['অ', 'থৈ', ',']"
দক্ষিণ-পূবদিকে।,"['দ', 'ক্ষি', 'ণ', '-', 'পূ', 'ব', 'দি', 'কে', '।']"
খিষ্টানসহ,"['খি', 'ষ্টা', 'ন', 'স', 'হ']"
অর্থে,"['অ', 'র্থে']"
পুলির,"['পু', 'লি', 'র']"
"প্রান্তর,","['প্রা', 'ন্ত', 'র', ',']"
সমুদ্রে,"['স', 'মু', 'দ্রে']"
পাবণে,"['পা', 'ব', 'ণে']"
ঢাক-ঢোক,"['ঢা', 'ক', '-', 'ঢো', 'ক']"
নদনদীর,"['ন', 'দ', 'ন', 'দী', 'র']"
প্রাচীন,"['প্রা', 'চী', 'ন']"
"পানি,","['পা', 'নি', ',']"
দ্রীর্ঘতম,"['দ্রী', 'র্ঘ', 'ত', 'ম']"
সমুদ্রসৈককত,"['স', 'মু', 'দ্র', 'সৈ', 'ক', 'ক', 'ত']"
সুন্দ্ররবন,"['সু', 'ন্দ্র', 'র', 'ব', 'ন']"
ঈদ-পূজা-পার্বণে-,"['ঈ', 'দ', '-', 'পূ', 'জা', '-', 'পা', 'র্ব', 'ণে', '-']"
দক্ষিন-পুর্বদিকে।,"['দ', 'ক্ষি', 'ন', '-', 'পু', 'র্ব', 'দি', 'কে', '।']"
ঝরনা-পাহাড়-সমুদ্রের,"['ঝ', 'র', 'না', '-', 'পা', 'হা', 'ড়', '-', 'স', 'মু', 'দ্রে', 'র']"
গড়ে,"['গ', 'ড়ে']"
উঠেছে,"['উ', 'ঠে', 'ছে']"
রপসী,"['র', 'প', 'সী']"
তুলার,"['তু', 'লা', 'র']"
হেমন্তের,"['হে', 'ম', 'ন্তে', 'র']"
ফলজ-কাঠ-ঔষধি,"['ফ', 'ল', 'জ', '-', 'কা', 'ঠ', '-', 'ঔ', 'ষ', 'ধি']"
সমুদ্রসৈকত।,"['স', 'মু', 'দ্র', 'সৈ', 'ক', 'ত', '।']"
"পিঠা-পুলির,","['পি', 'ঠা', '-', 'পু', 'লি', 'র', ',']"
মায়ান,"['মা', 'য়া', 'ন']"
মারে,"['মা', 'রে']"
জন,"['জ', 'ন']"
সংখ্যা,"['স', 'ং', 'খ্যা']"
লক্ষে,"['ল', 'ক্ষে']"
ঊধন্দে।,"['ঊ', 'ধ', 'ন্দে', '।']"
ধর্ময়ীয়,"['ধ', 'র্ম', 'য়ী', 'য়']"
ঐবত্যতা,"['ঐ', 'ব', 'ত্য', 'তা']"
আটারে,"['আ', 'টা', 'রে']"
পার্বান,"['পা', 'র্বা', 'ন']"
টোল,"['টো', 'ল']"
উৎসব,"['উ', 'ৎ', 'স', 'ব']"
গ্রসিমের,"['গ্র', 'সি', 'মে', 'র']"
উচ্চতা,"['উ', 'চ্চ', 'তা']"
আটয়,"['আ', 'ট', 'য়']"
অখৈ,"['অ', 'খৈ']"
প্রবান,"['প্র', 'বা', 'ন']"
মেঘ,"['মে', 'ঘ']"
হেমন্ত,"['হে', 'ম', 'ন্ত']"
নববর্ষ,"['ন', 'ব', 'ব', 'র্ষ']"
"পিটা,পুলি,","['পি', 'টা', ',', 'পু', 'লি', ',']"
সমারহ,"['স', 'মা', 'র', 'হ']"
কোকলির,"['কো', 'ক', 'লি', 'র']"
ধর্না-,"['ধ', 'র্না', '-']"
সমুদের,"['স', 'মু', 'দে', 'র']"
"কণ্ঠ,","['ক', 'ণ্ঠ', ',']"
উষধি,"['উ', 'ষ', 'ধি']"
প্রন্তর,"['প্র', 'ন্ত', 'র']"
অংখ্যা,"['অ', 'ং', 'খ্যা']"
নদী,"['ন', 'দী']"
দীপ্ব,"['দী', 'প্ব']"
প্রচীর,"['প্র', 'চী', 'র']"
পৃথিবৃরীর,"['পৃ', 'থি', 'বৃ', 'রী', 'র']"
দীঘতম,"['দী', 'ঘ', 'ত', 'ম']"
কোক্স,"['কো', 'ক্স']"
বাজার,"['বা', 'জা', 'র']"
ম্যানগ্রল্ভ,"['ম্যা', 'ন', 'গ্র', 'ল্ভ']"
বাঙ্গলিরা,"['বা', 'ঙ্গ', 'লি', 'রা']"
প্রকৃতিতে,"['প্র', 'কৃ', 'তি', 'তে']"
বসন্তের,"['ব', 'স', 'ন্তে', 'র']"
ঔষধে,"['ঔ', 'ষ', 'ধে']"
শরতের,"['শ', 'র', 'তে', 'র']"
দক্ষিণে-পূর্ব,"['দ', 'ক্ষি', 'ণে', '-', 'পূ', 'র্ব']"
ঈদপূজা-,"['ঈ', 'দ', 'পূ', 'জা', '-']"
পূর্বনে,"['পূ', 'র্ব', 'নে']"
নান,"['না', 'ন']"
নাবন্নের,"['না', 'ব', 'ন্নে', 'র']"
শীত,"['শী', 'ত']"
থাকো,"['থা', 'কো']"
"দীপ,","['দী', 'প', ',']"
"পৃথিবীর,","['পৃ', 'থি', 'বী', 'র', ',']"
দীর্ঘতর,"['দী', 'র্ঘ', 'ত', 'র']"
"পশ্চিম,","['প', 'শ্চি', 'ম', ',']"
বঙ্গোঁপসাগর,"['ব', 'ঙ্গোঁ', 'প', 'সা', 'গ', 'র']"
মায়ানবার,"['মা', 'য়া', 'ন', 'বা', 'র']"
রঙ্গের,"['র', 'ঙ্গে', 'র']"
কোকি-,"['কো', 'কি', '-']"
লের,"['লে', 'র']"
ঝর্না-পাহাড়-সমুদের,"['ঝ', 'র্না', '-', 'পা', 'হা', 'ড়', '-', 'স', 'মু', 'দে', 'র']"
সমুদসৈকত,"['স', 'মু', 'দ', 'সৈ', 'ক', 'ত']"
বাংলাদেশের,"['বা', 'ং', 'লা', 'দে', 'শে', 'র']"
পূজা,"['পূ', 'জা']"
ঘড়ে,"['ঘ', 'ড়ে']"
"ঝর্না,","['ঝ', 'র্না', ',']"
"ফলদ,","['ফ', 'ল', 'দ', ',']"
সমুদ্রসৈকতে,"['স', 'মু', 'দ্র', 'সৈ', 'ক', 'তে']"
ঝর্না-পাহাড-সমুদ্রের,"['ঝ', 'র্না', '-', 'পা', 'হা', 'ড', '-', 'স', 'মু', 'দ্রে', 'র']"
"উ-তা,","['উ', '-', 'তা', ',']"
রঙের,"['র', 'ঙে', 'র']"
সমুদ্রসৈতক,"['স', 'মু', 'দ্র', 'সৈ', 'ত', 'ক']"
উত্তর,"['উ', 'ত্ত', 'র']"
বঙ্গপোসাগর।,"['ব', 'ঙ্গ', 'পো', 'সা', 'গ', 'র', '।']"
কোঁজা,"['কোঁ', 'জা']"
দক্ষিণ-পূর্বাদিকে,"['দ', 'ক্ষি', 'ণ', '-', 'পূ', 'র্বা', 'দি', 'কে']"
পুর্ব,"['পু', 'র্ব']"
-পার্বণে,"['-', 'পা', 'র্ব', 'ণে']"
"জলজ,","['জ', 'ল', 'জ', ',']"
বাঙ্গালীরা,"['বা', 'ঙ্গা', 'লী', 'রা']"
"বাজয়,","['বা', 'জ', 'য়', ',']"
কোটিরও,"['কো', 'টি', 'র', 'ও']"
অথৈই,"['অ', 'থৈ', 'ই']"
বাংলা।,"['বা', 'ং', 'লা', '।']"
মানায়মার,"['মা', 'না', 'য়', 'মা', 'র']"
ঈদ-পুজা-পার্বণে,"['ঈ', 'দ', '-', 'পু', 'জা', '-', 'পা', 'র্ব', 'ণে']"
ঝর্না-পাহার-,"['ঝ', 'র্না', '-', 'পা', 'হা', 'র', '-']"
মায়ানমারের,"['মা', 'য়া', 'ন', 'মা', 'রে', 'র']"
প্লাবন।,"['প্লা', 'ব', 'ন', '।']"
কোজা,"['কো', 'জা']"
"পিঠাপূলী,","['পি', 'ঠা', 'পূ', 'লী', ',']"
নীয়ে,"['নী', 'য়ে']"
"দ্বীপ,","['দ্বী', 'প', ',']"
ঐকবদ্ধ,"['ঐ', 'ক', 'ব', 'দ্ধ']"
"পিঠা,","['পি', 'ঠা', ',']"
"সমারহ,","['স', 'মা', 'র', 'হ', ',']"
পুর্ব-পশ্চিমে,"['পু', 'র্ব', '-', 'প', 'শ্চি', 'মে']"
দক্ষিণ-পুর্বে,"['দ', 'ক্ষি', 'ণ', '-', 'পু', 'র্বে']"
পুথিবীর,"['পু', 'থি', 'বী', 'র']"
রুপসী,"['রু', 'প', 'সী']"
বাঙ্গালির,"['বা', 'ঙ্গা', 'লি', 'র']"
পুলি।,"['পু', 'লি', '।']"
ঔষাধি,"['ঔ', 'ষা', 'ধি']"
প্রচীর।,"['প্র', 'চী', 'র', '।']"
পৃথিবির,"['পৃ', 'থি', 'বি', 'র']"
"বক্সবাজার,","['ব', 'ক্স', 'বা', 'জা', 'র', ',']"
রূপালী,"['রূ', 'পা', 'লী']"
থেকে,"['থে', 'কে']"
এবং,"['এ', 'ব', 'ং']"
পূজা-,"['পূ', 'জা', '-']"
"ঢাক-ঢোল,","['ঢা', 'ক', '-', 'ঢো', 'ল', ',']"
"পুলি-পিঠা,","['পু', 'লি', '-', 'পি', 'ঠা', ',']"
কক্সবাজার,"['ক', 'ক্স', 'বা', 'জা', 'র']"
বাঙালির,"['বা', 'ঙা', 'লি', 'র']"
ভূপ্রাকতিক,"['ভূ', 'প্রা', 'ক', 'তি', 'ক']"
পিঠা-পুলিআ,"['পি', 'ঠা', '-', 'পু', 'লি', 'আ']"
রব,"['র', 'ব']"
সন্তেথাকে,"['স', 'ন্তে', 'থা', 'কে']"
ম্যানগ্রোভগ্রোভ,"['ম্যা', 'ন', 'গ্রো', 'ভ', 'গ্রো', 'ভ']"
বনবন,"['ব', 'ন', 'ব', 'ন']"
সুন্দরবনসুন্দরবন,"['সু', 'ন্দ', 'র', 'ব', 'ন', 'সু', 'ন্দ', 'র', 'ব', 'ন']"
এসবএসব,"['এ', 'স', 'ব', 'এ', 'স', 'ব']"
নিয়েনিয়ে,"['নি', 'য়ে', 'নি', 'য়ে']"
নানানানা,"['না', 'না', 'না', 'না']"
রঙেরঙে,"['র', 'ঙে', 'র', 'ঙে']"
রূপসীরূপসী,"['রূ', 'প', 'সী', 'রূ', 'প', 'সী']"
এইএই,"['এ', 'ই', 'এ', 'ই']"
বাংলাদেশ।বাংলাদেশ।,"['বা', 'ং', 'লা', 'দে', 'শ', '।', 'বা', 'ং', 'লা', 'দে', 'শ', '।']"
-পূজা-পর্বণে,"['-', 'পূ', 'জা', '-', 'প', 'র্ব', 'ণে']"
ঈদ-পূজা-পূর্বণে,"['ঈ', 'দ', '-', 'পূ', 'জা', '-', 'পূ', 'র্ব', 'ণে']"
"সমমারোহ,","['স', 'ম', 'মা', 'রো', 'হ', ',']"
ঔষধ,"['ঔ', 'ষ', 'ধ']"
সৌন্দর্য,"['সৌ', 'ন্দ', 'র্য']"
"দক্ষিণ,","['দ', 'ক্ষি', 'ণ', ',']"
জনসংখ্যার,"['জ', 'ন', 'স', 'ং', 'খ্যা', 'র']"
হিন্দু-,"['হি', 'ন্দু', '-']"
"এখানে,","['এ', 'খা', 'নে', ',']"
ঈদ,"['ঈ', 'দ']"
"ঢাক,","['ঢা', 'ক', ',']"
ডোল,"['ডো', 'ল']"
আমোজ।,"['আ', 'মো', 'জ', '।']"
উষ্ণতা,"['উ', 'ষ্ণ', 'তা']"
বেজা,"['বে', 'জা']"
ঢাক।,"['ঢা', 'ক', '।']"
"পাহাড়,","['পা', 'হা', 'ড়', ',']"
"থাকে,","['থা', 'কে', ',']"
প্রান্তর,"['প্রা', 'ন্ত', 'র']"
"দীর্ঘতম,","['দী', 'র্ঘ', 'ত', 'ম', ',']"
বঙ্গোপোসাগর।,"['ব', 'ঙ্গো', 'পো', 'সা', 'গ', 'র', '।']"
ঐক্য,"['ঐ', 'ক্য']"
"সমোরহ,","['স', 'মো', 'র', 'হ', ',']"
ম্যান,"['ম্যা', 'ন']"
মুলত,"['মু', 'ল', 'ত']"
পূর্বে-পশ্চিম,"['পূ', 'র্বে', '-', 'প', 'শ্চি', 'ম']"
বসেন্তে,"['ব', 'সে', 'ন্তে']"
শীতের,"['শী', 'তে', 'র']"
রাম্ভর।,"['রা', 'ম্ভ', 'র', '।']"
প্রাবাল,"['প্রা', 'বা', 'ল']"
আষাঢ়,"['আ', 'ষা', 'ঢ়']"
ম্যান-,"['ম্যা', 'ন', '-']"
গ্রোভ,"['গ্রো', 'ভ']"
দক্ষিণ-পূর্বদিকে,"['দ', 'ক্ষি', 'ণ', '-', 'পূ', 'র্ব', 'দি', 'কে']"
মিয়ানমার,"['মি', 'য়া', 'ন', 'মা', 'র']"
বাস।,"['বা', 'স', '।']"
বা-,"['বা', '-']"
"জায়,","['জা', 'য়', ',']"
জলজ,"['জ', 'ল', 'জ']"
স-,"['স', '-']"
মুদ্র,"['মু', 'দ্র']"
অন্যান্য,"['অ', 'ন্যা', 'ন্য']"
"পূজা,","['পূ', 'জা', ',']"
"দক্ষিণ-পূর্বদিকে,","['দ', 'ক্ষি', 'ণ', '-', 'পূ', 'র্ব', 'দি', 'কে', ',']"
"মায়ানমার,","['মা', 'য়া', 'ন', 'মা', 'র', ',']"
পোঁজা,"['পোঁ', 'জা']"
হিন্দু,"['হি', 'ন্দু']"
বাংলাদেশে,"['বা', 'ং', 'লা', 'দে', 'শে']"
দক্ষিণ-পূর্বাদকে।,"['দ', 'ক্ষি', 'ণ', '-', 'পূ', 'র্বা', 'দ', 'কে', '।']"
দক্ষিণে-পূর্বে,"['দ', 'ক্ষি', 'ণে', '-', 'পূ', 'র্বে']"
মাযানমার,"['মা', 'যা', 'ন', 'মা', 'র']"
দাক্ষণে,"['দা', 'ক্ষ', 'ণে']"
বঙ্গোঁপসাগর।,"['ব', 'ঙ্গোঁ', 'প', 'সা', 'গ', 'র', '।']"
ঔষুধি,"['ঔ', 'ষু', 'ধি']"
রূপাসী,"['রূ', 'পা', 'সী']"
দক্ষিন-,"['দ', 'ক্ষি', 'ন', '-']"
মায়নমার,"['মা', 'য়', 'ন', 'মা', 'র']"
বঙ্গোপসাগরে।,"['ব', 'ঙ্গো', 'প', 'সা', 'গ', 'রে', '।']"
বাঙালি,"['বা', 'ঙা', 'লি']"
"ঈদ,পুজা","['ঈ', 'দ', ',', 'পু', 'জা']"
"নদনদীর,","['ন', 'দ', 'ন', 'দী', 'র', ',']"
"প্রাচীন,","['প্রা', 'চী', 'ন', ',']"
সমুদ্রেসৈকত,"['স', 'মু', 'দ্রে', 'সৈ', 'ক', 'ত']"
রূপালি,"['রূ', 'পা', 'লি']"
পূর্ব-,"['পূ', 'র্ব', '-']"
-ঢোল,"['-', 'ঢো', 'ল']"
সৌন্দযে,"['সৌ', 'ন্দ', 'যে']"
মায়ামার,"['মা', 'য়া', 'মা', 'র']"
বঙ্গোপ,"['ব', 'ঙ্গো', 'প']"
-সাগর।,"['-', 'সা', 'গ', 'র', '।']"
"ইদ,","['ই', 'দ', ',']"
পূজা-পার্বনে,"['পূ', 'জা', '-', 'পা', 'র্ব', 'নে']"
আনন্দের,"['আ', 'ন', 'ন্দে', 'র']"
কাঠ-ঔষধি,"['কা', 'ঠ', '-', 'ঔ', 'ষ', 'ধি']"
কক্সবাজার।,"['ক', 'ক্স', 'বা', 'জা', 'র', '।']"
পূজা-পালনে,"['পূ', 'জা', '-', 'পা', 'ল', 'নে']"
নদনদী-দ্বীপ,"['ন', 'দ', 'ন', 'দী', '-', 'দ্বী', 'প']"
বাঙালীরা,"['বা', 'ঙা', 'লী', 'রা']"
প্রকৃতিক,"['প্র', 'কৃ', 'তি', 'ক']"
দক্ষিন-পূর্বদিকে,"['দ', 'ক্ষি', 'ন', '-', 'পূ', 'র্ব', 'দি', 'কে']"
এরপর,"['এ', 'র', 'প', 'র']"
বঙ্গোপোসাগর,"['ব', 'ঙ্গো', 'পো', 'সা', 'গ', 'র']"
বৌদ্ধ,"['বৌ', 'দ্ধ']"
ধর্মিয়,"['ধ', 'র্মি', 'য়']"
ঈদ-পুজা-পার্বনে,"['ঈ', 'দ', '-', 'পু', 'জা', '-', 'পা', 'র্ব', 'নে']"
ডাক,"['ডা', 'ক']"
ঝর্না-পাহার-সমুদ্রের,"['ঝ', 'র্না', '-', 'পা', 'হা', 'র', '-', 'স', 'মু', 'দ্রে', 'র']"
প্রান্তির।,"['প্রা', 'ন্তি', 'র', '।']"
নদ-নদি,"['ন', 'দ', '-', 'ন', 'দি']"
দীর্বতম,"['দী', 'র্ব', 'ত', 'ম']"
ম্যানগোভ,"['ম্যা', 'ন', 'গো', 'ভ']"
সুন্দর,"['সু', 'ন্দ', 'র']"
দক্ষিন-পূর্বাদিকে।,"['দ', 'ক্ষি', 'ন', '-', 'পূ', 'র্বা', 'দি', 'কে', '।']"
দেশে,"['দে', 'শে']"
ধরনের,"['ধ', 'র', 'নে', 'র']"
ঈদ-পূজা-পাবর্ণে,"['ঈ', 'দ', '-', 'পূ', 'জা', '-', 'পা', 'ব', 'র্ণে']"
রূপ,"['রূ', 'প']"
পীঠা-পুলি,"['পী', 'ঠা', '-', 'পু', 'লি']"
"সমহার,","['স', 'ম', 'হা', 'র', ',']"
"ফসল,","['ফ', 'স', 'ল', ',']"
অসখ্য,"['অ', 'স', 'খ্য']"
"প্রচীর,","['প্র', 'চী', 'র', ',']"
রুপালি,"['রু', 'পা', 'লি']"
ঢাকা-ঢোল,"['ঢা', 'কা', '-', 'ঢো', 'ল']"
"অসংখ্যা,","['অ', 'স', 'ং', 'খ্যা', ',']"
ভূ-প্রকৃতিক,"['ভূ', '-', 'প্র', 'কৃ', 'তি', 'ক']"
দীপ,"['দী', 'প']"
প্লবলে,"['প্ল', 'ব', 'লে']"
এ,['এ']
পেঁজ,"['পেঁ', 'জ']"
-সমুদ্রের,"['-', 'স', 'মু', 'দ্রে', 'র']"
ঘরে-ঘরে,"['ঘ', 'রে', '-', 'ঘ', 'রে']"
দক্ষিণ-পূর্বাদিকে।,"['দ', 'ক্ষি', 'ণ', '-', 'পূ', 'র্বা', 'দি', 'কে', '।']"
"নানা,","['না', 'না', ',']"
মেঘ।,"['মে', 'ঘ', '।']"
"পিঠা-পুলী,","['পি', 'ঠা', '-', 'পু', 'লী', ',']"
থাকা,"['থা', 'কা']"
"বন,","['ব', 'ন', ',']"
দক্ষিন-পূর্ব,"['দ', 'ক্ষি', 'ন', '-', 'পূ', 'র্ব']"
একে,"['এ', 'কে']"
পৃর্ব,"['পৃ', 'র্ব']"
পশ্চিমতে,"['প', 'শ্চি', 'ম', 'তে']"
ঐক্য-,"['ঐ', 'ক্য', '-']"
বদ্ধ,"['ব', 'দ্ধ']"
থাকে-ফুলের,"['থা', 'কে', '-', 'ফু', 'লে', 'র']"
"সমোরোহ,","['স', 'মো', 'রো', 'হ', ',']"
থাকে-সবুজ,"['থা', 'কে', '-', 'স', 'বু', 'জ']"
"প্রবাল-প্রাচীর,","['প্র', 'বা', 'ল', '-', 'প্রা', 'চী', 'র', ',']"
দীঘর্তম,"['দী', 'ঘ', 'র্ত', 'ম']"
ম্যনগ্রোভ,"['ম্য', 'ন', 'গ্রো', 'ভ']"
বাংলদেশ।,"['বা', 'ং', 'ল', 'দে', 'শ', '।']"
পিঠা,"['পি', 'ঠা']"
"পুলি,","['পু', 'লি', ',']"
"ফলজ-কাঠ,","['ফ', 'ল', 'জ', '-', 'কা', 'ঠ', ',']"
বক্ষে,"['ব', 'ক্ষে']"
ঋতুকে,"['ঋ', 'তু', 'কে']"
ঊধ্বে।,"['ঊ', 'ধ্বে', '।']"
ঐক্যবদ্ধভাবে,"['ঐ', 'ক্য', 'ব', 'দ্ধ', 'ভা', 'বে']"
ঈদ-পূজা-পাবর্নে,"['ঈ', 'দ', '-', 'পূ', 'জা', '-', 'পা', 'ব', 'র্নে']"
"বঙ্গোপসাগর,","['ব', 'ঙ্গো', 'প', 'সা', 'গ', 'র', ',']"
"ঈদ,","['ঈ', 'দ', ',']"
পূর্বদিকে,"['পূ', 'র্ব', 'দি', 'কে']"
"মুসলমান,","['মু', 'স', 'ল', 'মা', 'ন', ',']"
খ্রিষ্ট্রানসহ,"['খ্রি', 'ষ্ট্রা', 'ন', 'স', 'হ']"
ঈদ-পূজা,"['ঈ', 'দ', '-', 'পূ', 'জা']"
নানারুপ,"['না', 'না', 'রু', 'প']"
"সমরোহ,","['স', 'ম', 'রো', 'হ', ',']"
ভেজা,"['ভে', 'জা']"
পার্বনে,"['পা', 'র্ব', 'নে']"
ফলজ,"['ফ', 'ল', 'জ']"
নদ-নদী-দ্বীপ,"['ন', 'দ', '-', 'ন', 'দী', '-', 'দ্বী', 'প']"
রূপসি,"['রূ', 'প', 'সি']"
ঝর্না-পাহাড়-,"['ঝ', 'র্না', '-', 'পা', 'হা', 'ড়', '-']"
বৃহত্তর,"['বৃ', 'হ', 'ত্ত', 'র']"
"পিঠাপুলি,","['পি', 'ঠা', 'পু', 'লি', ',']"
ঝর্ণা-পাহাড়-সমুদ্রের,"['ঝ', 'র্ণা', '-', 'পা', 'হা', 'ড়', '-', 'স', 'মু', 'দ্রে', 'র']"
"সুন্দরবন,","['সু', 'ন্দ', 'র', 'ব', 'ন', ',']"
নানারঙে,"['না', 'না', 'র', 'ঙে']"
ভারত।,"['ভা', 'র', 'ত', '।']"
বাঙ্গালিরা,"['বা', 'ঙ্গা', 'লি', 'রা']"
ম্যানগ্রোড,"['ম্যা', 'ন', 'গ্রো', 'ড']"
বঙ্গোসাগর।,"['ব', 'ঙ্গো', 'সা', 'গ', 'র', '।']"
আয়োজন।,"['আ', 'য়ো', 'জ', 'ন', '।']"
"ঝর্না-পাহাড়,","['ঝ', 'র্না', '-', 'পা', 'হা', 'ড়', ',']"
পূর্ব-পশ্চিমে,"['পূ', 'র্ব', '-', 'প', 'শ্চি', 'মে']"
দক্ষিণ-,"['দ', 'ক্ষি', 'ণ', '-']"
সবধর্মের,"['স', 'ব', 'ধ', 'র্মে', 'র']"
বাজায়।,"['বা', 'জা', 'য়', '।']"
"ভেজামেঘ,","['ভে', 'জা', 'মে', 'ঘ', ',']"
সমারোহ,"['স', 'মা', 'রো', 'হ']"
ঝর্ণা-পাহাড়-,"['ঝ', 'র্ণা', '-', 'পা', 'হা', 'ড়', '-']"
কাঠ,"['কা', 'ঠ']"
নদ-নদী,"['ন', 'দ', '-', 'ন', 'দী']"
পাহাড়-সমুদ্রের,"['পা', 'হা', 'ড়', '-', 'স', 'মু', 'দ্রে', 'র']"
পূর্বদিকে।,"['পূ', 'র্ব', 'দি', 'কে', '।']"
"পূর্বে,","['পূ', 'র্বে', ',']"
ধমীয়,"['ধ', 'মী', 'য়']"
ঈদ-পূজা-পর্বণে,"['ঈ', 'দ', '-', 'পূ', 'জা', '-', 'প', 'র্ব', 'ণে']"
ফলের,"['ফ', 'লে', 'র']"
নদনদী,"['ন', 'দ', 'ন', 'দী']"
সমূদ্রসৈকত,"['স', 'মূ', 'দ্র', 'সৈ', 'ক', 'ত']"
দক্ষিনে-পূর্বদিকে।,"['দ', 'ক্ষি', 'নে', '-', 'পূ', 'র্ব', 'দি', 'কে', '।']"
পশ্চিমে,"['প', 'শ্চি', 'মে']"
দক্ষিনে-পূর্বে,"['দ', 'ক্ষি', 'নে', '-', 'পূ', 'র্বে']"
বঙ্গোপসাগর,"['ব', 'ঙ্গো', 'প', 'সা', 'গ', 'র']"
বেশি।,"['বে', 'শি', '।']"
ঢাক-,"['ঢা', 'ক', '-']"
পিঠা-পুলির,"['পি', 'ঠা', '-', 'পু', 'লি', 'র']"
ঝর্না-,"['ঝ', 'র্না', '-']"
পাহার-সমুদ্রের,"['পা', 'হা', 'র', '-', 'স', 'মু', 'দ্রে', 'র']"
বৃক্ষের,"['বৃ', 'ক্ষে', 'র']"
ঊর্ধে।,"['ঊ', 'র্ধে', '।']"
ঈদ-,"['ঈ', 'দ', '-']"
পূজা-পার্বণে,"['পূ', 'জা', '-', 'পা', 'র্ব', 'ণে']"
ওষধি,"['ও', 'ষ', 'ধি']"
দক্ষিণ-পূর্ব,"['দ', 'ক্ষি', 'ণ', '-', 'পূ', 'র্ব']"
"উঞ্চতা,","['উ', 'ঞ্চ', 'তা', ',']"
ঝর্না-পাহাড়া-সমুদ্রের,"['ঝ', 'র্না', '-', 'পা', 'হা', 'ড়া', '-', 'স', 'মু', 'দ্রে', 'র']"
দক্ষিক-পূর্ব,"['দ', 'ক্ষি', 'ক', '-', 'পূ', 'র্ব']"
দিকে।,"['দি', 'কে', '।']"
ছোট্টা,"['ছো', 'ট্টা']"
"বৌন্ধ,","['বৌ', 'ন্ধ', ',']"
এখানে,"['এ', 'খা', 'নে']"
গ্রীষ্মের,"['গ্রী', 'ষ্মে', 'র']"
সমা-,"['স', 'মা', '-']"
"রোহ,","['রো', 'হ', ',']"
বাংলা,"['বা', 'ং', 'লা']"
দেশ।,"['দে', 'শ', '।']"
পূর্ব,"['পূ', 'র্ব']"
ভারত,"['ভা', 'র', 'ত']"
দক্ষিণে-,"['দ', 'ক্ষি', 'ণে', '-']"
পূর্বে,"['পূ', 'র্বে']"
খ্রিষ্টান,"['খ্রি', 'ষ্টা', 'ন']"
ঝর্না,"['ঝ', 'র্না']"
পাহাড়,"['পা', 'হা', 'ড়']"
পেজা,"['পে', 'জা']"
প্রাচীর।,"['প্রা', 'চী', 'র', '।']"
উধ্বে।,"['উ', 'ধ্বে', '।']"
প্রাকৃতির,"['প্রা', 'কৃ', 'তি', 'র']"
এখনো।,"['এ', 'খ', 'নো', '।']"
নাবান্নের,"['না', 'বা', 'ন্নে', 'র']"
ঝর্না-পাহাড়,"['ঝ', 'র্না', '-', 'পা', 'হা', 'ড়']"
কোটি,"['কো', 'টি']"
খিস্টানসহ,"['খি', 'স্টা', 'ন', 'স', 'হ']"
মানুষে,"['মা', 'নু', 'ষে']"
ঢাক-টোল,"['ঢা', 'ক', '-', 'টো', 'ল']"
পিঠা-,"['পি', 'ঠা', '-']"
পুলি,"['পু', 'লি']"
অসংখ্যা,"['অ', 'স', 'ং', 'খ্যা']"
ম্যালগ্রোভ,"['ম্যা', 'ল', 'গ্রো', 'ভ']"
ভূ-প্রাকৃতিক,"['ভূ', '-', 'প্রা', 'কৃ', 'তি', 'ক']"
ধর্মের,"['ধ', 'র্মে', 'র']"
প্রাকৃতিক,"['প্রা', 'কৃ', 'তি', 'ক']"
প্লাবন,"['প্লা', 'ব', 'ন']"
সমারোহ।,"['স', 'মা', 'রো', 'হ', '।']"
"ডাক,","['ডা', 'ক', ',']"
